TeamId,TeamName,SubmissionDate,Score
6664502,WQA,"2021-04-20 07:39:51",0.16514
6721462,ning-zelin,"2021-05-02 14:41:21",0.16777
6654752,"Dunedain Strider","2021-05-08 16:07:34",0.16803
6658736,"Ryan Liu","2021-04-27 00:08:36",0.16947
6728629,vim100,"2021-05-04 16:09:37",0.17045
6738086,"[Deleted] bc7301fa-e0fc-456f-a33b-02bd71107166","2021-05-08 12:41:45",0.17110
6738439,"Wenchen Zhu","2021-05-07 08:37:35",0.17654
6688047,"Zhou Fangming","2021-05-08 15:17:53",0.18302
6676433,pao0mian,"2021-04-30 01:05:08",0.18350
6669963,medicine-wave,"2021-05-07 05:08:30",0.18491
6720968,"Loobin Jiang","2021-05-08 17:54:40",0.18545
6683801,Silver_Ghost,"2021-04-25 14:33:39",0.18737
6681849,zhaozizi,"2021-04-25 10:24:42",0.18916
6660455,"Haoyi Lin","2021-04-20 12:20:50",0.19016
6733043,HuRun,"2021-05-05 13:32:43",0.19089
6662197,Jackzhangqf,"2021-04-29 11:23:02",0.19183
6721360,Yeureka,"2021-05-06 15:54:35",0.19225
6665791,"Liao Yikai","2021-05-08 04:12:10",0.19227
6654738,"Han Rui","2021-04-21 13:09:30",0.19276
6705322,OooooHuang,"2021-05-07 10:21:30",0.19383
6683931,lingyuxiong,"2021-04-26 11:52:02",0.19483
6689687,"daowei niu","2021-05-04 10:31:33",0.19545
6683473,"Weijiang Bai","2021-04-25 04:43:48",0.19601
6677065,wangchenfeng,"2021-04-25 09:51:18",0.19762
6658919,aa111aeiou,"2021-04-26 12:23:10",0.19909
6685926,GCYYfun,"2021-05-06 13:05:46",0.20068
6691720,water_moon,"2021-04-27 15:27:00",0.20125
6705878,sokui154,"2021-05-07 06:49:58",0.20575
6685839,"Xingjian CHEN","2021-04-24 11:26:19",0.20609
6691027,TB_TheBest,"2021-04-25 13:33:03",0.20872
6744439,Moon_and_Six_Pence,"2021-05-07 14:45:42",0.20907
6678049,Silverfall,"2021-04-28 11:59:10",0.21139
6683614,Kuan,"2021-04-23 16:25:45",0.21258
6755378,CharlesDavid,"2021-05-09 03:55:33",0.21285
6658451,djc,"2021-05-08 19:57:27",0.21781
6654826,"changjie xian","2021-04-22 05:44:19",0.22276
6676865,abc,"2021-05-07 12:36:14",0.22741
6749270,schizism,"2021-05-09 03:09:15",0.22831
6654770,linglu,"2021-05-09 03:12:04",0.22871
6690440,"Rui An","2021-04-25 08:39:23",0.23186
6683385,mlpoijnk,"2021-04-24 12:50:56",0.23188
6668002,lanlanmeng,"2021-04-25 12:58:33",0.23403
6655223,Yatong,"2021-04-30 00:00:10",0.23480
6659353,gk2644,"2021-04-22 11:47:26",0.23652
6667700,Qian,"2021-04-26 02:00:49",0.23711
6682187,阿姆lil,"2021-05-07 12:23:44",0.24223
6680821,cwz427,"2021-05-07 10:06:17",0.24293
6754673,"qi liu","2021-05-07 15:22:00",0.24554
6753845,firestone00,"2021-05-08 06:18:42",0.24684
6743274,ShizuRin,"2021-05-05 07:24:11",0.25179
6658744,TBD,"2021-04-26 12:39:35",0.25336
6685717,Xuan,"2021-04-29 09:04:43",0.25457
6739742,"Ross Qiu","2021-05-04 12:41:38",0.25521
6655364,"Julius yang","2021-04-25 16:32:10",0.25603
6690973,delruce,"2021-05-09 03:56:47",0.25977
6669848,YEJJJJ,"2021-04-24 01:47:33",0.26424
6690445,Blue,"2021-05-07 06:32:01",0.27406
6667227,thebesttv,"2021-04-30 15:13:04",0.27527
6667287,Sinyua,"2021-04-30 11:15:53",0.27660
6686592,Dingchengjie,"2021-04-25 09:36:56",0.28095
6730330,xxxMANxxx,"2021-05-05 14:14:26",0.28311
6702163,feixu22,"2021-05-07 11:02:44",0.29296
6691039,judy012,"2021-04-28 09:30:46",0.29722
6686705,WEEN01,"2021-04-25 06:22:19",0.31856
6654832,LinzhouLi,"2021-04-29 17:05:41",0.32288
6666266,Mini_Zhou,"2021-04-21 09:48:55",0.33362
6656008,jiayaguang1,"2021-04-21 10:37:10",0.35930
6697664,JiangJunMei,"2021-05-04 02:26:03",0.37671
6686984,hlf2001,"2021-04-24 13:55:49",0.39881
6690996,dongmingzang,"2021-05-09 03:56:02",0.42129
6754157,shanheling,"2021-05-09 03:28:21",0.43910
6676935,quirecan,"2021-04-28 02:39:12",0.45564
6685948,gaochaoml,"2021-05-04 13:32:50",0.45569
6492880,submission.csv,"2021-03-19 22:29:22",0.46458
6655692,YoungLi,"2021-04-20 13:21:04",0.46458
6710024,yzhang5,"2021-04-30 03:46:15",0.46458
6758870,"Wanxuan Zhang","2021-05-08 03:57:42",0.46458
6762171,jm.Feng,"2021-05-08 16:51:39",0.46458
6658463,JTmaner,"2021-04-29 06:24:10",0.47852
6744364,MlDlLover,"2021-05-05 16:44:01",0.48079
6665881,"kaggle Jack Johnson","2021-04-23 04:49:26",0.49482
6654883,waga,"2021-05-02 02:55:53",0.50083
6660460,kang_1996,"2021-05-02 18:09:45",0.50238
6661834,"Dawei Austin","2021-04-23 05:19:16",0.50920
6655603,nikebaby,"2021-04-26 01:33:39",0.52671
6759003,Xuzhiiii,"2021-05-08 10:02:39",0.52927
6654820,Tedli88,"2021-05-02 09:44:02",0.53232
6654817,"Tsai HoLy","2021-05-05 03:40:32",0.54540
6685998,skwlh544818,"2021-04-24 17:21:14",0.54988
6670749,"flying teenagers","2021-04-21 07:53:53",0.57149
6672476,crazy-winds,"2021-05-05 04:55:48",0.57541
6702648,BigSwPotato,"2021-05-05 08:49:16",0.60232
6680510,"wen jiang","2021-04-23 08:53:54",0.61223
6669964,xiangyehz,"2021-04-23 12:47:58",0.61745
6672538,LmngWg,"2021-04-24 04:30:00",0.65643
6681963,Study,"2021-05-09 00:36:03",0.65644
6654830,BinaryFunction,"2021-05-08 15:05:26",0.78723
6655493,noimank,"2021-04-26 12:36:27",0.89315
6654838,"yihuan LIU","2021-04-25 15:17:41",0.89400
6675580,yanguo111,"2021-04-29 10:23:54",0.90487
6731056,zhangzhen,"2021-05-05 14:18:51",0.91688
6730225,"sharling w","2021-05-09 03:05:34",0.93351
6706003,Leao-Li,"2021-05-04 07:47:39",0.98182
6705265,ccc,"2021-04-29 06:32:09",1.02351
6685913,waowYe,"2021-04-24 11:35:00",1.04439
6736928,caroot1996,"2021-05-04 13:28:54",1.07898
6706553,bobdongbo,"2021-05-06 09:18:22",1.25993
6686672,"Fei Xue","2021-04-25 07:44:37",1.32600
6699863,vreolilo,"2021-05-08 11:14:33",1.37201
6666087,"Wiley Z","2021-04-26 13:09:03",1.50495
6753805,干就完了,"2021-05-07 23:36:34",1.82472
6697352,learningdaily,"2021-04-27 15:47:21",2.20879
6691058,"zhui zhui19951995","2021-04-25 10:23:32",2.84805
6675950,hqqzll,"2021-04-23 01:46:58",3.03902
6743120,YuliangNie,"2021-05-09 03:59:45",5.90278
6697024,Steins,"2021-04-27 07:22:51",7.64901
6745891,Yong,"2021-05-09 00:06:11",7.66027
6685544,lgrygxj,"2021-04-29 02:50:45",7.66178
6664878,jaycheney,"2021-04-24 08:16:55",7.66322
6655924,JNUer,"2021-04-25 09:09:52",7.66369
6677806,xiaochuan,"2021-04-22 13:25:04",8.66287
6721300,"[Deleted] d62787ab-3792-43f0-b5fc-293fccdc9cc9","2021-05-01 10:17:05",13.13745
6704939,"Renato Roschel Ribeiro","2021-04-27 23:58:09",13.40455
